obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.237678598634734e+18,16.9568897845004,3.64613008870454,23.33542,21.95143,20.48149,19.603,19.13094,7712,301,6,442,4.855016555329904e+18,GALAXY,0.5062369,4312,55511,495
1.2376621977522015e+18,240.063240247767,6.13413059813973,17.86033,16.79228,16.43001,16.30923,16.25873,3894,301,1,243,2.4489280322708705e+18,STAR,0.0003448142,2175,54612,348
1.237678617431376e+18,30.887222067625,1.18870964120799,18.18911,16.89469,16.42161,16.24627,16.18549,7717,301,1,536,8.255357438959835e+18,STAR,4.085216e-06,7332,56683,943
1.237668335253325e+18,247.594400505002,10.8877797153666,24.99961,21.71203,21.47148,21.30532,21.29109,5323,301,1,134,4.5779987227562706e+18,STAR,-0.0002914838,4066,55444,326
1.2376793228543263e+18,18.8964507920807,-5.26133022886992,23.76648,21.79737,20.69543,20.23403,19.97464,7881,301,3,148,8.91047176642785e+18,STAR,-0.0001361561,7914,57331,363
1.2376576279180083e+18,182.713733094955,51.3758050594777,22.44608,21.68444,20.24292,19.41423,19.08227,2830,301,1,411,7.516725588574623e+18,QSO,0.5026683,6676,56389,792
1.2376607648460308e+18,150.089423193165,39.4670880748061,18.96441,17.82906,17.31429,16.99891,16.85583,3560,301,4,278,1.5267956411104236e+18,GALAXY,0.06366445,1356,53033,274
1.2376551067684047e+18,189.510984338851,58.7411197772507,21.37376,20.80187,20.84925,21.13449,20.34689,2243,301,1,353,7.696817897528907e+18,QSO,0.7936153,6836,56443,604
1.2376570700898632e+18,37.7138728560977,-0.525138228146508,20.77988,19.54618,19.16687,18.89438,18.64286,2700,301,2,117,1.7553283123029217e+18,GALAXY,0.1060118,1559,53271,183
1.2376654415181903e+18,201.074980072746,28.7699058867715,25.05349,22.23362,20.8122,19.69488,19.28336,4649,301,3,120,7.306035245308205e+18,GALAXY,0.567082,6489,56329,257
1.237667736105911e+18,151.83091832672,19.8108624669417,24.04443,22.48608,20.59701,19.50985,19.00457,5183,301,5,142,6.622787444780849e+18,GALAXY,0.5475619,5882,56029,888
1.2376510678863055e+18,164.364389178099,64.7877852553783,22.98745,23.07199,21.15229,19.97391,19.17876,1302,301,6,319,7.999579699214046e+18,GALAXY,0.7592601,7105,56740,221
1.2376515392626368e+18,242.830624949049,52.6659057609914,23.03347,23.60839,21.79315,20.79881,19.74832,1412,301,4,375,9.081519495399626e+18,GALAXY,0.680221,8066,57544,39
1.237663785281192e+18,22.9648494083052,0.876034964444952,25.62939,21.3913,19.98634,18.81294,18.13539,4263,301,6,269,1.2138278960580792e+18,STAR,-1.408066e-05,1078,52643,392
1.2376651269301207e+18,176.268553005359,33.432292927676,21.83964,19.87187,18.8392,18.3688,18.09703,4576,301,1,399,1.1553015766489256e+19,GALAXY,0.1312984,10261,58462,570
1.237661212048295e+18,227.751962030348,41.8324497606407,25.98832,23.93829,21.41312,20.34021,19.5577,3664,301,5,107,9.592801209263348e+18,QSO,0.5425886,8520,58191,487
1.2376674317164874e+18,169.863745026212,27.7983851231628,24.98477,21.998,20.30022,18.3646,17.31518,5112,301,6,392,2.495097611325827e+18,STAR,7.991327e-05,2216,53795,376
1.237667229292692e+18,24.1256712165619,7.71411154678635,23.14042,22.40757,20.6306,19.69073,19.23944,5065,301,5,34,5.126228691731633e+18,GALAXY,0.5221394,4553,55584,23
1.2376788799626289e+18,35.9907477694201,-2.73277673995951,25.9074,22.95846,21.38795,20.36139,19.705,7778,301,2,557,8.818141919588932e+18,GALAXY,0.5420848,7832,56904,341
